Trial,Result,Mapping,NumberTries,SuccessRate,MaxLoopLength,MinLoopLength,AverageLoopLength,NumLoops
621,0,"{1: 2, 2: 8, 3: 10, 4: 9, 5: 4, 6: 7, 7: 1, 8: 3, 9: 6, 10: 5}",5,0.3327974276527331,10,10,10.0,1
622,1,"{1: 8, 2: 5, 3: 1, 4: 2, 5: 4, 6: 10, 7: 7, 8: 3, 9: 6, 10: 9}",5,0.33386837881219905,3,1,2.5,4
623,0,"{1: 4, 2: 5, 3: 2, 4: 6, 5: 9, 6: 10, 7: 7, 8: 3, 9: 1, 10: 8}",5,0.3333333333333333,9,1,5.0,2
624,0,"{1: 1, 2: 8, 3: 5, 4: 3, 5: 6, 6: 10, 7: 9, 8: 4, 9: 2, 10: 7}",5,0.3328,9,1,5.0,2
625,0,"{1: 1, 2: 5, 3: 6, 4: 8, 5: 2, 6: 4, 7: 3, 8: 9, 9: 7, 10: 10}",5,0.33226837060702874,6,1,2.5,4
626,0,"{1: 5, 2: 8, 3: 2, 4: 3, 5: 7, 6: 4, 7: 10, 8: 1, 9: 6, 10: 9}",5,0.3317384370015949,10,10,10.0,1
627,0,"{1: 5, 2: 6, 3: 7, 4: 10, 5: 8, 6: 3, 7: 9, 8: 4, 9: 1, 10: 2}",5,0.33121019108280253,10,10,10.0,1
628,0,"{1: 4, 2: 3, 3: 1, 4: 10, 5: 7, 6: 2, 7: 8, 8: 6, 9: 9, 10: 5}",5,0.33068362480127184,9,1,5.0,2
629,0,"{1: 3, 2: 10, 3: 9, 4: 5, 5: 4, 6: 8, 7: 1, 8: 2, 9: 6, 10: 7}",5,0.33015873015873015,8,2,5.0,2
630,0,"{1: 9, 2: 5, 3: 8, 4: 1, 5: 4, 6: 3, 7: 2, 8: 7, 9: 6, 10: 10}",5,0.329635499207607,9,1,5.0,2
631,0,"{1: 6, 2: 1, 3: 3, 4: 7, 5: 9, 6: 4, 7: 5, 8: 8, 9: 2, 10: 10}",5,0.3291139240506329,7,1,2.5,4
632,0,"{1: 1, 2: 5, 3: 10, 4: 6, 5: 7, 6: 8, 7: 9, 8: 2, 9: 4, 10: 3}",5,0.3285939968404423,7,1,3.3333333333333335,3
633,1,"{1: 9, 2: 7, 3: 6, 4: 5, 5: 2, 6: 3, 7: 4, 8: 10, 9: 8, 10: 1}",5,0.32965299684542587,4,2,3.3333333333333335,3
634,0,"{1: 2, 2: 9, 3: 5, 4: 6, 5: 4, 6: 8, 7: 1, 8: 10, 9: 3, 10: 7}",5,0.3291338582677165,10,10,10.0,1
635,1,"{1: 10, 2: 2, 3: 6, 4: 3, 5: 1, 6: 8, 7: 4, 8: 7, 9: 9, 10: 5}",5,0.330188679245283,5,1,2.5,4
636,0,"{1: 9, 2: 10, 3: 4, 4: 6, 5: 3, 6: 8, 7: 5, 8: 2, 9: 1, 10: 7}",5,0.32967032967032966,8,2,5.0,2
637,0,"{1: 8, 2: 6, 3: 10, 4: 7, 5: 5, 6: 1, 7: 9, 8: 4, 9: 2, 10: 3}",5,0.329153605015674,7,1,3.3333333333333335,3
638,0,"{1: 3, 2: 4, 3: 5, 4: 7, 5: 1, 6: 8, 7: 9, 8: 2, 9: 6, 10: 10}",5,0.3286384976525822,6,1,3.3333333333333335,3
639,0,"{1: 6, 2: 4, 3: 10, 4: 5, 5: 3, 6: 1, 7: 2, 8: 8, 9: 7, 10: 9}",5,0.328125,7,1,3.3333333333333335,3
640,1,"{1: 4, 2: 3, 3: 6, 4: 2, 5: 8, 6: 1, 7: 10, 8: 5, 9: 7, 10: 9}",5,0.3291731669266771,5,2,3.3333333333333335,3
641,0,"{1: 1, 2: 10, 3: 7, 4: 8, 5: 3, 6: 4, 7: 5, 8: 2, 9: 6, 10: 9}",5,0.32866043613707163,6,1,3.3333333333333335,3
642,1,"{1: 1, 2: 9, 3: 7, 4: 2, 5: 5, 6: 4, 7: 8, 8: 3, 9: 10, 10: 6}",5,0.3297045101088647,5,1,2.5,4
643,0,"{1: 2, 2: 8, 3: 4, 4: 3, 5: 6, 6: 1, 7: 10, 8: 7, 9: 9, 10: 5}",5,0.32919254658385094,7,1,3.3333333333333335,3
644,0,"{1: 5, 2: 4, 3: 3, 4: 10, 5: 8, 6: 9, 7: 7, 8: 2, 9: 6, 10: 1}",5,0.32868217054263565,6,1,2.5,4
645,0,"{1: 8, 2: 7, 3: 1, 4: 10, 5: 9, 6: 4, 7: 3, 8: 5, 9: 6, 10: 2}",5,0.3281733746130031,10,10,10.0,1
646,1,"{1: 6, 2: 5, 3: 3, 4: 8, 5: 4, 6: 7, 7: 9, 8: 2, 9: 1, 10: 10}",5,0.32921174652241114,4,1,2.5,4
647,1,"{1: 3, 2: 8, 3: 6, 4: 4, 5: 5, 6: 1, 7: 7, 8: 10, 9: 9, 10: 2}",5,0.33024691358024694,3,1,1.6666666666666667,6
648,0,"{1: 8, 2: 2, 3: 7, 4: 5, 5: 1, 6: 6, 7: 4, 8: 10, 9: 3, 10: 9}",5,0.32973805855161786,8,1,3.3333333333333335,3
649,0,"{1: 5, 2: 9, 3: 10, 4: 8, 5: 3, 6: 7, 7: 2, 8: 4, 9: 1, 10: 6}",5,0.3292307692307692,8,2,5.0,2
650,1,"{1: 3, 2: 7, 3: 5, 4: 1, 5: 4, 6: 8, 7: 9, 8: 2, 9: 6, 10: 10}",5,0.3302611367127496,5,1,3.3333333333333335,3
651,0,"{1: 10, 2: 7, 3: 2, 4: 6, 5: 5, 6: 8, 7: 9, 8: 3, 9: 1, 10: 4}",5,0.32975460122699385,9,1,5.0,2
652,1,"{1: 8, 2: 1, 3: 4, 4: 5, 5: 3, 6: 6, 7: 7, 8: 10, 9: 2, 10: 9}",5,0.33078101071975496,5,1,2.5,4
653,0,"{1: 1, 2: 4, 3: 6, 4: 7, 5: 8, 6: 9, 7: 3, 8: 5, 9: 2, 10: 10}",5,0.3302752293577982,6,1,2.5,4
654,1,"{1: 6, 2: 7, 3: 9, 4: 2, 5: 5, 6: 1, 7: 10, 8: 3, 9: 8, 10: 4}",5,0.33129770992366414,4,1,2.5,4
655,1,"{1: 8, 2: 7, 3: 4, 4: 10, 5: 2, 6: 1, 7: 5, 8: 6, 9: 9, 10: 3}",5,0.3323170731707317,3,1,2.5,4
656,0,"{1: 6, 2: 3, 3: 9, 4: 1, 5: 2, 6: 4, 7: 8, 8: 5, 9: 10, 10: 7}",5,0.3318112633181126,7,3,5.0,2
657,1,"{1: 1, 2: 3, 3: 4, 4: 6, 5: 10, 6: 7, 7: 2, 8: 5, 9: 8, 10: 9}",5,0.33282674772036475,5,1,3.3333333333333335,3
658,0,"{1: 4, 2: 9, 3: 2, 4: 10, 5: 7, 6: 6, 7: 8, 8: 1, 9: 3, 10: 5}",5,0.3323216995447648,6,1,3.3333333333333335,3
659,0,"{1: 1, 2: 7, 3: 4, 4: 6, 5: 3, 6: 8, 7: 5, 8: 10, 9: 9, 10: 2}",5,0.33181818181818185,8,1,3.3333333333333335,3
